Family Pattern
"E_EDU_F %in% c('1','2')"
"AGE>13.5 & E_EDU_F %in% c('1','2')"
"E_EDU_F %in% c('1','2') & O_BR_S %in% c('2','3','4')"
"E_EDU_F %in% c('1','2') & WC_MN %in% c('2')"
"E_EDU_F %in% c('1','2','4') & WC_MN_M03 %in% c('1')"
"GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2')"
"INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10') & F_WAT %in% c('3','4','5')"
"AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN %in% c('2')"
"AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1')"
"E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & O_BR_S %in% c('2','3','4')"
"E_EDU_F %in% c('1','2','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
"E_EDU_F %in% c('1','2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')"
"GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2','4') & WC_MN_M03 %in% c('1')"
"GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2') & WC_MN %in% c('2')"
"GRADE %in% c('1','3','4','5','6') & PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1')"
"INT_WK_MM %in% c('0','2','3','4','5','6','7','8','9','10') & F_WAT %in% c('3','4','5') & WC_MN %in% c('2')"
"PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
"WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')"
"AGE>13.5 & E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
"E_EDU_F %in% c('1','2') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1') & O_BR_S %in% c('2','3','4')"
"GRADE %in% c('1','3','4','5','6') & E_EDU_F %in% c('1','2','4') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
"GRADE %in% c('1','3','4','5','6') & F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
"GRADE %in% c('1','3','4','5','6') & PA_MSC %in% c('1','3') & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')"
