"","len","sup","conf","condition","pred"
"1","1","0.263","0.809","WC_MN %in% c('2')","1"
"2","1","0.204","0.766","WC_MN_M03 %in% c('1')","1"
"3","2","0.112","0.947","WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"4","1","0.087","0.771","WC_MN_M03 %in% c('0','9999')","0"
"5","1","0.063","0.751","AGE<=3.5","0"
"6","1","0.056","0.752","AGE>3.5","1"
"7","2","0.055","0.94","AGE>2.5 & WC_MN %in% c('2')","1"
"8","1","0.052","0.796","WC_MN %in% c('1','4')","0"
"9","2","0.041","0.91","AGE>3.5 & WC_MN %in% c('2')","1"
"10","2","0.034","0.897","AGE>2.5 & WC_MN_M03 %in% c('1')","1"
"11","2","0.03","0.896","AGE>3.5 & WC_MN_M03 %in% c('1')","1"
"12","1","0.026","0.899","PA_MSC %in% c('1','3')","1"
"13","1","0.024","0.751","AGE<=4.5","0"
"14","1","0.022","0.927","F_WAT %in% c('3','4','5')","1"
"15","2","0.022","0.971","PA_MSC %in% c('1','3') & WC_MN %in% c('2')","1"
"16","3","0.021","0.985","AGE>2.5 & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"17","1","0.021","0.935","F_WAT %in% c('1','3','4','5')","1"
"18","2","0.018","0.825","PA_MSC %in% c('3') & WC_MN %in% c('2')","1"
"19","3","0.018","0.991","AGE>3.5 & WC_MN %in% c('2') & WC_MN_M03 %in% c('1')","1"
"20","1","0.017","0.838","PA_MSC %in% c('1','2')","1"
"21","2","0.017","0.973","F_WAT %in% c('3','4','5') & WC_MN %in% c('2')","1"
"22","2","0.017","0.981","F_WAT %in% c('1','3','4','5') & WC_MN %in% c('2')","1"
"23","2","0.015","0.793","PA_MSC %in% c('1') & WC_MN %in% c('2')","1"
"24","1","0.014","0.78","F_VEG %in% c('3')","1"
"25","2","0.013","0.892","PA_MSC %in% c('1','2') & WC_MN_M03 %in% c('1')","1"
"26","2","0.013","0.911","PA_MSC %in% c('1','3') & WC_MN_M03 %in% c('1')","1"
"27","1","0.011","0.789","F_FASTFOOD %in% c('1')","1"
"28","2","0.011","0.897","WC_MN %in% c('2') & F_VEG %in% c('3')","1"
"29","2","0.011","0.864","PA_MSC %in% c('2') & WC_MN %in% c('1','4')","0"
"30","2","0.011","0.957","F_WAT %in% c('1','3','4','5') & WC_MN_M03 %in% c('1')","1"
"31","1","0.011","0.835","O_BR_SLP %in% c('1')","0"
"32","2","0.01","0.9","WC_MN %in% c('2') & M_SLP_EN %in% c('1')","1"
"33","2","0.01","0.808","WC_MN %in% c('2') & O_SYMP6 %in% c('1')","1"
