,Variables,Euclidean distance
13,BMI_1,0.0
2,WC_MN_2,1.4183309078216553
4,WC_MN_M03_1,1.4825183153152466
3,WC_MN_M02_1,1.5153082609176636
1,PR_BI_5,1.7929521799087524
9,WC_MN_M08_1,1.94980788230896
6,WC_MN_M05_1,1.976914882659912
14,INT_WK_MM_10,2.0187666416168213
0,PR_BI_4,2.058300018310547
5,WC_MN_M04_1,2.0619637966156006
12,WC_MN_M10_1,2.1422994136810303
20,SleepAvg_WK_2,2.1548409461975098
8,WC_MN_M07_1,2.186516523361206
7,WC_MN_M06_1,2.240020751953125
15,E_KRN_F_2,2.654515266418457
18,E_BORN_M_1,2.6872034072875977
10,WC_MN_M09_0,2.6888442039489746
17,E_BORN_F_1,3.0073461532592773
19,SleepAvg_WK_0,3.033895492553711
11,WC_MN_M10_0,3.1970176696777344
16,E_BORN_F_9999,5.122637748718262
